date,close,open,high,low,volume,percent
4/16/2025,11,10.93,11.01,10.91,84.28M,0.46%
4/15/2025,10.95,10.92,10.97,10.9,72.28M,0.18%
4/14/2025,10.93,10.95,11.04,10.92,78.60M,0.37%
4/11/2025,10.89,10.87,10.9,10.83,58.39M,-0.09%
4/10/2025,10.9,10.86,10.93,10.82,86.65M,0.93%
4/9/2025,10.8,10.73,10.83,10.66,106.44M,-0.18%
4/8/2025,10.82,10.68,10.85,10.66,146.40M,1.12%
4/7/2025,10.7,11,11.05,10.48,254.56M,-5.64%
4/3/2025,11.34,11.31,11.39,11.3,64.39M,-0.26%
4/2/2025,11.37,11.25,11.41,11.25,93.26M,0.89%
4/1/2025,11.27,11.27,11.3,11.22,68.15M,0.09%
3/31/2025,11.26,11.36,11.38,11.26,111.61M,-0.79%
3/28/2025,11.35,11.39,11.4,11.34,64.49M,-0.35%
3/27/2025,11.39,11.37,11.41,11.35,55.33M,0.09%
3/26/2025,11.38,11.42,11.43,11.37,74.09M,-0.44%
3/25/2025,11.43,11.38,11.43,11.36,73.56M,0.44%
3/24/2025,11.38,11.41,11.44,11.34,116.46M,-0.35%
3/21/2025,11.42,11.49,11.52,11.39,137.64M,-0.61%
3/20/2025,11.49,11.51,11.61,11.49,110.12M,-0.26%
3/19/2025,11.52,11.48,11.53,11.46,136.25M,0.26%
3/18/2025,11.49,11.52,11.54,11.48,160.53M,-0.09%
3/17/2025,11.5,11.63,11.67,11.46,460.36M,-3.93%
3/14/2025,11.97,11.82,12,11.82,172.24M,1.10%
3/13/2025,11.84,11.81,11.91,11.78,131.24M,-0.08%
3/12/2025,11.85,11.6,11.87,11.56,187.73M,2.07%
3/11/2025,11.61,11.54,11.61,11.52,60.90M,0.17%
3/10/2025,11.59,11.66,11.67,11.55,66.38M,-0.69%
3/7/2025,11.67,11.63,11.69,11.6,83.55M,0.34%
3/6/2025,11.63,11.69,11.7,11.6,87.74M,-0.26%
3/5/2025,11.66,11.52,11.67,11.48,108.07M,1.30%
3/4/2025,11.51,11.47,11.55,11.44,68.32M,0.00%
3/3/2025,11.51,11.52,11.56,11.45,83.05M,-0.17%
2/28/2025,11.53,11.58,11.68,11.5,94.91M,-0.77%
2/27/2025,11.62,11.53,11.63,11.46,97.73M,0.87%
2/26/2025,11.52,11.47,11.6,11.47,84.16M,0.44%
2/25/2025,11.47,11.56,11.58,11.46,91.72M,-1.04%
2/24/2025,11.59,11.63,11.69,11.56,95.00M,-0.43%
2/21/2025,11.64,11.69,11.71,11.55,97.40M,-0.17%
2/20/2025,11.66,11.71,11.76,11.65,78.44M,-0.43%
2/19/2025,11.71,11.8,11.81,11.68,117.78M,-0.85%
2/18/2025,11.81,11.76,11.96,11.76,199.66M,0.25%
2/17/2025,11.78,11.6,11.8,11.55,206.20M,1.99%
2/14/2025,11.55,11.49,11.55,11.43,97.31M,0.43%
2/13/2025,11.5,11.42,11.55,11.4,135.86M,0.70%
2/12/2025,11.42,11.41,11.43,11.34,98.88M,0.00%
2/11/2025,11.42,11.4,11.47,11.37,84.45M,-0.09%
2/10/2025,11.43,11.38,11.5,11.36,102.66M,0.44%
2/7/2025,11.38,11.36,11.45,11.31,140.75M,0.18%
2/6/2025,11.36,11.35,11.45,11.3,95.56M,-0.09%
2/5/2025,11.37,11.5,11.52,11.33,84.34M,-0.87%
1/27/2025,11.47,11.38,11.55,11.38,115.19M,1.15%
1/24/2025,11.34,11.32,11.39,11.22,94.49M,0.18%
1/23/2025,11.32,11.17,11.4,11.17,151.49M,2.07%
1/22/2025,11.09,11.32,11.33,11.08,134.71M,-2.12%
1/21/2025,11.33,11.45,11.45,11.32,90.21M,-0.79%
1/20/2025,11.42,11.5,11.52,11.4,83.20M,-0.26%
1/17/2025,11.45,11.53,11.55,11.42,68.98M,-1.04%
1/16/2025,11.57,11.55,11.59,11.47,87.30M,0.78%
1/15/2025,11.48,11.38,11.58,11.36,103.16M,0.88%
1/14/2025,11.38,11.2,11.4,11.19,82.46M,1.61%
1/13/2025,11.2,11.25,11.26,11.08,93.50M,-0.88%
1/10/2025,11.3,11.4,11.46,11.28,79.81M,-0.88%
1/9/2025,11.4,11.5,11.5,11.35,75.15M,-0.87%
1/8/2025,11.5,11.5,11.63,11.4,106.24M,-0.09%
1/7/2025,11.51,11.42,11.53,11.37,74.79M,0.61%
1/6/2025,11.44,11.38,11.48,11.22,108.55M,0.53%
1/3/2025,11.38,11.44,11.54,11.36,115.47M,-0.44%
1/2/2025,11.43,11.73,11.77,11.39,181.96M,-2.31%
12/31/2024,11.7,11.93,11.99,11.7,147.54M,-2.09%
12/30/2024,11.95,11.78,11.97,11.78,135.18M,1.01%
12/27/2024,11.83,11.87,11.9,11.66,129.00M,-0.25%
12/26/2024,11.86,11.92,11.93,11.78,100.01M,-0.50%
12/25/2024,11.92,11.86,12.02,11.84,147.53M,0.51%
12/24/2024,11.86,11.72,11.87,11.72,135.08M,1.11%
12/23/2024,11.73,11.64,11.84,11.64,165.94M,0.95%
12/20/2024,11.62,11.59,11.7,11.58,71.47M,0.26%
12/19/2024,11.59,11.59,11.64,11.54,69.74M,-0.52%
12/18/2024,11.65,11.58,11.74,11.57,101.66M,1.04%
12/17/2024,11.53,11.57,11.65,11.52,80.21M,-0.35%
12/16/2024,11.57,11.56,11.66,11.53,80.57M,0.09%
12/13/2024,11.56,11.79,11.8,11.56,134.38M,-2.45%
12/12/2024,11.85,11.73,11.87,11.71,98.62M,1.02%
12/11/2024,11.73,11.79,11.83,11.72,96.77M,-0.51%
12/10/2024,11.79,11.9,11.95,11.75,216.78M,1.03%
12/9/2024,11.67,11.63,11.72,11.59,96.41M,0.09%
12/6/2024,11.66,11.44,11.7,11.43,172.63M,1.92%
12/5/2024,11.44,11.44,11.5,11.41,68.71M,-0.17%
12/4/2024,11.46,11.44,11.53,11.37,100.75M,-0.26%
12/3/2024,11.49,11.37,11.5,11.35,108.26M,0.88%
12/2/2024,11.39,11.39,11.4,11.31,97.54M,0.09%
11/29/2024,11.38,11.37,11.46,11.34,102.85M,0.35%
11/28/2024,11.34,11.39,11.42,11.32,73.32M,-0.44%
11/27/2024,11.39,11.24,11.39,11.15,89.52M,1.06%
